Po	Sw	Sg	So	Rso
time = 1
5000	0	0	1	250.241
5817.73	0	0	1	250.241
5982.5	0	0	1	250.241
5998.33	0	0	1	250.241
5999.84	0	0	1	250.241
5999.98	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
Po	Sw	Sg	So	Rso
time = 3.5
5000	0	0	1	250.241
5470.14	0	0	1	250.241
5890.23	0	0	1	250.241
