Po	Sw	Sg	So	Rso
time = 1
4000.02	0	0.136546	0.863454	174.547
5603.2	0	0	1	250.721
5961.58	0	0	1	250.241
5996.34	0	0	1	250.241
5999.65	0	0	1	250.241
5999.97	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
Po	Sw	Sg	So	Rso
time = 3.5
4000	0	0.13632	0.86368	174.545
4995.53	0	0.00343302	0.996567	249.863
5772.32	0	0	1	250.238
5957.23	0	0	1	250.241
5992.52	0	0	1	250.241
5998.74	0	0	1	250.241
5999.79	0	0	1	250.241
5999.97	0	0	1	250.241
5999.99	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
Po	Sw	Sg	So	Rso
time = 4.8
4000	0	0.136219	0.863781	174.545
4937.92	0	0.0141885	0.985812	244.989
5639.11	0	0	1	250.246
5924.4	0	0	1	250.241
5985.6	0	0	1	250.241
5997.4	0	0	1	250.241
5999.55	0	0	1	250.241
5999.92	0	0	1	250.241
5999.99	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
Po	Sw	Sg	So	Rso
time = 5.8
4000	0	0.136147	0.863853	174.545
4896.7	0	0.0218479	0.978152	241.502
5557.87	0	0	1	250.257
5894.8	0	0	1	250.241
5978.34	0	0	1	250.241
5995.89	0	0	1	250.241
5999.26	0	0	1	250.241
5999.87	0	0	1	250.241
5999.98	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
Po	Sw	Sg	So	Rso
time = 6.8
4000	0	0.136083	0.863917	174.545
4858.79	0	0.0288518	0.971148	238.295
5493.23	0	0	1	250.272
5863.22	0	0	1	250.241
5969.09	0	0	1	250.241
5993.72	0	0	1	250.241
5998.81	0	0	1	250.241
5999.78	0	0	1	250.241
5999.96	0	0	1	250.241
5999.99	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
6000	0	0	1	250.241
